depth[mm]	HF [V]	NF [V]	TGC [dB]
27,1	0,091	-0,073	30,866
27,2	0,062	0,001	30,866
27,3	0,038	0,031	30,866
27,5	0,020	0,018	30,866
27,6	0,009	0,000	30,866
27,7	0,005	-0,005	30,866
27,9	0,006	-0,005	30,866
28,0	0,012	-0,001	30,866
28,1	0,022	0,015	30,866
28,3	0,032	0,031	30,866
28,4	0,039	0,021	30,866
28,5	0,041	-0,014	30,866
28,7	0,036	-0,036	30,866
28,8	0,028	-0,022	30,866
28,9	0,021	0,007	30,866
29,1	0,017	0,014	30,866
29,2	0,017	-0,005	30,866
29,4	0,017	-0,019	30,866
29,5	0,016	-0,011	30,866
29,6	0,012	0,004	30,787
29,8	0,008	0,003	30,866
29,9	0,007	-0,007	30,866
30,0	0,011	-0,006	30,866
30,2	0,018	0,011	30,866
30,3	0,024	0,022	30,866
30,4	0,026	0,013	30,866
30,6	0,022	-0,007	30,866
30,7	0,015	-0,016	30,866
30,8	0,008	-0,009	30,866
31,0	0,005	-0,001	30,866
31,1	0,008	-0,004	30,866
31,2	0,013	-0,013	30,787
31,4	0,018	-0,018	30,866
31,5	0,021	-0,012	30,866
31,6	0,020	0,000	30,866
31,8	0,018	0,010	30,866
31,9	0,017	0,015	30,866
32,1	0,016	0,016	30,866
32,2	0,015	0,010	30,866
32,3	0,014	-0,001	30,866
32,5	0,013	-0,011	30,866
32,6	0,011	-0,010	30,866
32,7	0,011	0,001	30,866
32,9	0,012	0,012	30,866
33,0	0,015	0,012	30,866
33,1	0,017	0,001	30,866
33,3	0,018	-0,012	30,866
33,4	0,018	-0,018	30,866
33,5	0,016	-0,012	30,866
33,7	0,014	-0,001	30,866
33,8	0,012	0,008	30,866
33,9	0,009	0,009	30,866
34,1	0,006	0,004	30,866
34,2	0,003	0,000	30,709
34,3	0,002	0,000	30,866
34,5	0,003	0,003	30,787
34,6	0,007	0,005	30,866
34,8	0,010	0,001	30,866
34,9	0,012	-0,006	30,866
35,0	0,013	-0,011	30,866
35,2	0,012	-0,011	30,866
35,3	0,011	-0,011	30,866
35,4	0,013	-0,013	30,866
35,6	0,018	-0,015	30,787
35,7	0,022	-0,009	30,787
35,8	0,025	0,005	30,709
36,0	0,024	0,018	30,709
36,1	0,018	0,019	30,787
36,2	0,012	0,009	30,866
36,4	0,007	-0,001	30,866
36,5	0,006	0,000	30,866
36,6	0,009	0,010	30,866
36,8	0,016	0,015	30,866
36,9	0,022	0,006	30,866
37,0	0,025	-0,012	30,866
37,2	0,023	-0,022	30,866
37,3	0,017	-0,014	30,866
37,5	0,012	0,001	30,787
37,6	0,009	0,008	30,787
37,7	0,009	0,001	30,709
37,9	0,011	-0,010	30,787
38,0	0,013	-0,012	30,866
38,1	0,012	-0,003	30,866
38,3	0,009	0,006	30,866
38,4	0,006	0,005	30,866
38,5	0,005	-0,002	30,866
38,7	0,006	-0,005	30,866
38,8	0,010	0,003	30,866
38,9	0,014	0,013	30,866
39,1	0,017	0,015	30,709
39,2	0,017	0,006	30,787
39,3	0,016	-0,006	30,866
39,5	0,013	-0,012	30,866
39,6	0,010	-0,010	30,866
39,7	0,008	-0,006	30,866
39,9	0,007	-0,004	30,787
40,0	0,008	-0,005	30,866
40,2	0,011	-0,001	30,866
40,3	0,013	0,007	30,866
40,4	0,014	0,013	30,866
40,6	0,013	0,012	30,787
40,7	0,010	0,004	30,709
40,8	0,007	0,000	30,866
41,0	0,007	0,001	30,866
41,1	0,010	0,001	30,866
41,2	0,015	-0,009	30,866
41,4	0,021	-0,020	30,866
41,5	0,024	-0,020	30,866
41,6	0,025	-0,001	30,866
41,8	0,024	0,019	30,866
41,9	0,023	0,021	30,787
42,0	0,024	0,000	30,709
42,2	0,026	-0,023	30,709
42,3	0,028	-0,025	30,787
42,4	0,028	-0,006	30,787
42,6	0,024	0,014	30,866
42,7	0,018	0,018	30,787
42,8	0,010	0,009	30,866
43,0	0,005	0,001	30,866
43,1	0,004	0,002	30,866
43,3	0,006	0,006	30,866
43,4	0,008	0,003	30,866
43,5	0,009	-0,003	30,866
43,7	0,007	-0,007	30,787
43,8	0,004	-0,004	30,787
43,9	0,002	0,000	30,866
44,1	0,003	-0,001	30,709
44,2	0,007	-0,007	30,709
44,3	0,010	-0,009	30,866
44,5	0,011	-0,002	30,787
44,6	0,010	0,007	30,866
44,7	0,008	0,007	30,866
44,9	0,007	-0,002	30,709
45,0	0,010	-0,010	30,866
45,1	0,016	-0,004	30,866
45,3	0,023	0,014	30,787
45,4	0,029	0,028	30,787
45,5	0,032	0,024	30,709
45,7	0,031	0,003	30,709
45,8	0,028	-0,017	30,866
46,0	0,021	-0,021	30,866
46,1	0,014	-0,013	30,866
46,2	0,008	-0,005	30,866
46,4	0,005	-0,003	30,866
46,5	0,005	-0,005	30,787
46,6	0,007	-0,006	30,787
46,8	0,010	-0,003	30,787
46,9	0,012	0,002	30,709
47,0	0,012	0,008	30,787
47,2	0,013	0,012	30,787
47,3	0,013	0,013	30,709
47,4	0,014	0,008	30,866
47,6	0,015	-0,001	30,866
47,7	0,013	-0,009	30,866
47,8	0,010	-0,010	30,866
48,0	0,006	-0,005	30,866
48,1	0,003	-0,001	30,866
48,2	0,002	-0,001	30,787
48,4	0,003	-0,003	30,709
48,5	0,004	-0,005	30,709
48,7	0,005	-0,004	30,787
48,8	0,005	-0,003	30,787
48,9	0,006	-0,003	30,787
49,1	0,006	-0,001	30,709
49,2	0,007	0,003	30,866
49,3	0,008	0,008	30,866
49,5	0,009	0,007	30,787
49,6	0,009	0,000	30,866
49,7	0,008	-0,007	30,866
49,9	0,008	-0,008	30,866
50,0	0,008	-0,002	30,866
50,1	0,007	0,005	30,787
50,3	0,007	0,006	30,709
50,4	0,009	0,000	30,709
50,5	0,010	-0,009	30,787
50,7	0,012	-0,012	30,787
50,8	0,014	-0,008	30,866
50,9	0,013	0,002	30,787
51,1	0,011	0,008	30,709
51,2	0,008	0,008	30,709
51,4	0,005	0,004	30,787
51,5	0,003	0,000	30,787
51,6	0,002	0,000	30,866
51,8	0,002	0,001	30,787
51,9	0,002	0,002	30,787
52,0	0,004	0,003	30,709
52,2	0,005	0,005	30,709
52,3	0,006	0,006	30,709
52,4	0,007	0,005	30,866
52,6	0,007	0,001	30,866
52,7	0,006	-0,002	30,866
52,8	0,004	-0,002	30,866
53,0	0,004	-0,001	30,866
53,1	0,005	-0,002	30,866
53,2	0,007	-0,006	30,787
53,4	0,009	-0,009	30,709
53,5	0,010	-0,009	30,709
53,6	0,010	-0,005	30,709
53,8	0,010	0,000	30,709
53,9	0,009	0,005	30,709
54,1	0,008	0,007	30,709
54,2	0,007	0,007	30,787
54,3	0,005	0,003	30,866
54,5	0,003	0,001	30,866
54,6	0,003	0,002	30,787
54,7	0,005	0,003	30,709
54,9	0,008	0,001	30,866
55,0	0,011	-0,006	30,866
55,1	0,012	-0,012	30,709
55,3	0,011	-0,010	30,709
55,4	0,009	-0,002	30,787
55,5	0,006	0,004	30,709
55,7	0,004	0,004	30,787
55,8	0,003	-0,001	30,787
55,9	0,003	-0,004	30,866
56,1	0,004	-0,004	30,866
56,2	0,005	-0,003	30,866
56,3	0,005	-0,003	30,787
56,5	0,006	-0,001	30,866
56,6	0,006	0,003	30,709
56,8	0,005	0,005	30,709
56,9	0,004	0,003	30,709
57,0	0,003	0,000	30,787
57,2	0,002	-0,002	30,787
57,3	0,002	0,000	30,866
57,4	0,002	0,002	30,866
57,6	0,002	0,002	30,787
57,7	0,002	0,000	30,787
57,8	0,002	-0,001	30,866
58,0	0,002	0,001	30,787
58,1	0,003	0,004	30,709
58,2	0,005	0,005	30,709
58,4	0,008	0,001	30,709
58,5	0,009	-0,005	30,709
58,6	0,009	-0,008	30,709
58,8	0,007	-0,007	30,709
58,9	0,006	-0,004	30,787
59,0	0,005	-0,002	30,787
59,2	0,005	-0,002	30,787
59,3	0,006	-0,001	30,787
59,4	0,006	0,002	30,787
59,6	0,006	0,006	30,787
59,7	0,006	0,005	30,787
59,9	0,005	-0,001	30,709
60,0	0,006	-0,006	30,709
60,1	0,008	-0,005	30,709
